,Pieces,Weight,Commodity Class,Base Retail,distance(mi)
497,3,5822,65.0,637.33,1267.990337281148
498,4,5985,65.0,639.27,949.347064190071
499,5,6943,60.0,644.53,1237.722490763909
500,2,3485,60.0,646.73,1352.5988318989857
501,4,5586,60.0,657.87,1004.1015813344244
502,5,6028,65.0,659.87,1267.990337281148
503,7,5967,65.0,665.96,1367.3157206193225
504,3,5287,60.0,673.03,1267.990337281148
505,3,3575,60.0,675.6,1008.2602029280096
506,5,6621,65.0,675.9,1226.952483984425
507,4,6912,65.0,676.76,973.3895816260906
508,4,4099,60.0,677.59,1115.9126211382425
509,4,4114,60.0,677.59,1115.9126211382425
510,3,4201,60.0,683.02,869.9194393254604
511,4,4847,60.0,683.02,869.9194393254604
512,6,7197,65.0,692.75,869.9194393254604
513,6,9179,60.0,694.54,869.9194393254604
514,4,6115,65.0,695.57,1345.4089207710665
515,3,4180,65.0,698.63,1565.1670569898358
516,3,3953,60.0,700.76,991.7639611063445
517,4,5451,60.0,712.25,1115.9126211382425
518,5,6206,65.0,714.48,869.9194393254604
519,6,6450,65.0,719.87,1367.3157206193225
520,10,13480,60.0,721.6,869.9194393254604
521,6,7333,60.0,725.56,869.9194393254604
522,6,7189,65.0,725.64,869.9194393254604
523,4,5031,65.0,729.11,869.9194393254604
524,6,6210,65.0,741.07,1179.6540928676413
525,7,8075,60.0,742.8,1307.8584247541723
526,4,6417,65.0,750.05,1446.7684114294552
527,5,7083,60.0,750.99,1345.4089207710665
528,4,6472,65.0,753.08,1237.722490763909
529,9,13048,60.0,765.3,1074.0049851388987
530,5,6382,65.0,769.74,1237.722490763909
531,4,6060,65.0,781.51,1437.574572675189
532,2,4055,65.0,786.21,1679.6001692397203
533,4,6097,65.0,786.28,1437.9378005113447
534,8,9463,65.0,788.5,875.0379223540084
535,4,6481,65.0,793.73,1508.2290676970576
536,6,7562,65.0,809.11,1324.436717326947
537,6,7688,65.0,811.89,869.9194393254604
538,8,12113,60.0,817.19,869.9194393254604
539,7,10629,60.0,826.77,869.9194393254604
540,5,7053,60.0,865.84,919.6772274915619
541,6,7002,65.0,868.51,1508.2290676970576
542,8,10372,65.0,869.52,869.9194393254604
543,3,5295,60.0,872.31,1345.4089207710665
544,7,8816,65.0,880.19,1324.436717326947
545,4,5632,60.0,882.72,1267.990337281148
546,4,6413,60.0,884.9,1267.990337281148
547,5,8041,60.0,899.47,919.6772274915619
548,4,5978,60.0,914.61,1267.990337281148
549,3,5629,60.0,927.34,1345.4089207710665
550,12,16537,60.0,928.01,869.9194393254604
551,8,8489,65.0,932.54,1414.7337000483913
552,4,5783,65.0,937.48,973.3895816260906
553,10,13136,60.0,947.53,973.3895816260906
554,4,6367,60.0,950.54,1267.990337281148
555,4,6367,60.0,950.54,1267.990337281148
556,8,13050,65.0,955.49,648.5370129368381
558,9,12723,65.0,969.97,1237.722490763909
559,5,6179,65.0,985.08,1307.8584247541723
561,9,10437,60.0,997.94,919.6772274915619
562,10,14770,60.0,1000.39,919.6772274915619
563,6,9775,65.0,1063.51,919.6772274915619
564,7,9455,60.0,1065.28,1179.7020888711859
565,6,8454,65.0,1118.29,919.6772274915619
566,6,7457,65.0,1127.28,1508.2290676970576
567,10,15748,65.0,1132.25,1074.0049851388987
568,6,8730,65.0,1139.41,1345.4089207710665
569,10,13685,60.0,1150.13,1074.0049851388987
570,7,10993,65.0,1179.66,1215.8161708063233
571,6,10406,65.0,1189.12,1414.7337000483913
572,8,10783,60.0,1189.35,1345.4089207710665
573,5,6943,60.0,1258.22,1118.5844441441166
574,8,14859,65.0,1266.46,875.0379223540084
576,6,8103,65.0,1313.66,1307.8584247541723
577,18,22280,65.0,1445.82,1226.952483984425
578,11,14867,60.0,1461.76,869.9194393254604
579,9,11270,65.0,1536.77,648.5370129368381
580,15,18929,65.0,1619.13,1074.0049851388987
581,12,18946,60.0,1672.52,1074.0049851388987
582,7,8885,60.0,1712.17,1267.990337281148
583,12,18785,65.0,2114.14,1074.0049851388987
585,11,11569,60.0,2210.27,1074.0049851388987
