Pickup Date,Month,Origin Zip,Destination Zip,Pieces,Weight,Commodity Class,Base Retail,R/ Lift Gate Delivery,R/ Fuel Surcharge,Billed
7/27/17,Jul,75261,89506,1,1250,65,199.59,53.11,42.11,$294.81 
5/5/17,May,75261,29609,2,2177,60,199.81,,42.96,$242.77 
12/1/17,Dec,75261,93706,1,396,65,202.1,,42.6,$253.17 
12/28/17,Dec,75261,92879,2,2462,65,202.85,,52.74,$288.26 
6/6/17,Jun,75261,33014,1,781,60,203.05,,41.46,$244.51 
10/11/17,Oct,75261,91744,1,1429,65,203.08,,45.69,$257.19 
10/17/17,Oct,75261,18643,1,1132,65,211.02,,47.47,$258.49 
9/22/17,Sep,75261,93446,1,1330,65,212.32,,47.78,$267.19 
12/14/17,Dec,75261,93446,1,1390,65,214.36,52.28,49.73,$323.22 
10/27/17,Oct,75261,53545,2,1990,65,215,,48.58,$263.58 
5/15/17,May,75261,33018,2,1355,60,216.58,,46.35,$262.93 
7/6/17,Jul,90660,29605,1,450,60,217.22,,45.62,$262.84 
1/24/17,Jan,75261,38118,5,6795,60,217.93,,47.07,$265.00 
4/28/17,Apr,75261,38118,3,3879,60,219.82,,47.48,$267.30 
9/7/17,Sep,75261,43551,1,1451,65,221.76,,49.68,$271.44 
9/26/17,Sep,75261,94030,1,1341,65,222.27,,50.01,$279.31 
9/26/17,Sep,75261,94030,1,1341,65,222.27,,50.01,$279.31 
12/28/17,Dec,75261,33035,1,1284,65,222.38,,51.36,$273.74 
12/14/17,Dec,75261,22153,1,1262,65,222.5,,51.62,$274.12 
8/29/17,Aug,75261,28731,2,1960,65,222.77,,48.11,$270.88 
8/18/17,Aug,90660,12020,1,390,65,224.7,50,27.63,$309.47 
12/29/17,Dec,75261,93706,1,1792,65,226.07,,52.22,$290.07 
6/26/17,Jun,29334,90660,1,472,60,227.32,,47.74,$275.06 
12/28/17,Dec,75261,85009,1,2033,65,227.4,,33.88,$267.29 
6/13/17,Jun,75261,37802,1,1470,60,228.93,,28.38,$257.31 
5/25/17,May,75261,30168,1,1610,60,230.04,,28.06,$258.10 
9/15/17,Sep,75261,48071,2,1475,65,230.59,,51.89,$282.48 
3/23/17,Mar,75261,53547,2,2217,60,230.97,,49.19,$280.16 
10/2/17,Oct,75261,95824,1,1427,65,234.28,,52.71,$293.96 
10/31/17,Oct,75261,92879,2,2044,65,235.8,,53.29,$297.28 
10/25/17,Oct,75261,40229,2,1810,65,237.52,,53.69,$291.21 
8/23/17,Aug,75261,40229,2,1838,65,237.83,,51.37,$289.20 
10/18/17,Oct,75261,90745,2,2067,65,238.09,,53.57,$299.84 
11/17/17,Nov,75261,80204,3,2674,65,241.25,,55.97,$297.22 
10/20/17,Oct,75261,38118,3,3314,65,243.42,,54.78,$298.20 
9/7/17,Sep,75261,29609,2,2354,65,244.24,,54.72,$298.96 
3/28/17,Mar,75261,43551,2,2475,60,244.48,,52.07,$296.55 
7/24/17,Jul,75261,85009,2,2213,65,245.27,,28.94,$280.17 
